The Shawshank Redemption
The Godfather
The Godfather: Part II
The Dark Knight
12 Angry Men
Schindler's List
The Lord of the Rings: The Return of the King
Pulp Fiction
"The Good, the Bad and the Ugly"
The Lord of the Rings: The Fellowship of the Ring
Fight Club
Forrest Gump
Inception
The Lord of the Rings: The Two Towers
The Empire Strikes Back
The Matrix
GoodFellas
One Flew Over the Cuckoo's Nest
Seven Samurai
Se7en
Life Is Beautiful
City of God
The Silence of the Lambs
It's a Wonderful Life
Star Wars
Saving Private Ryan
The Green Mile
Spirited Away
Interstellar
Parasite
Léon: The Professional
Harakiri
The Usual Suspects
The Lion King
The Pianist
Terminator 2: Judgment Day
Back to the Future
American History X
Modern Times
Gladiator
Psycho
The Departed
City Lights
The Intouchables
Whiplash
Grave of the Fireflies
The Prestige
Once Upon a Time in the West
Casablanca
Cinema Paradiso
Rear Window
Alien
Apocalypse Now
Memento
The Great Dictator
Raiders of the Lost Ark
Django Unchained
The Lives of Others
Hamilton
Paths of Glory
Joker
WALL·E
The Shining
Avengers: Infinity War
Sunset Boulevard
Witness for the Prosecution
Oldboy
Spider-Man: Into the Spider-Verse
Princess Mononoke
Dr. Strangelove
The Dark Knight Rises
Once Upon a Time in America
Your Name.
Aliens
Coco
Avengers: Endgame
Capernaum
American Beauty
Braveheart
High and Low
Das Boot
Toy Story
3 Idiots
Amadeus
Inglourious Basterds
Good Will Hunting
Return of the Jedi
Like Stars on Earth
Reservoir Dogs
2001: A Space Odyssey
Requiem for a Dream
The Hunt
Vertigo
M
Eternal Sunshine of the Spotless Mind
Citizen Kane
Dangal
Singin' in the Rain
Bicycle Thieves
The Kid
Full Metal Jacket
Come and See
Snatch
Ikiru
North by Northwest
A Clockwork Orange
Scarface
1917
Taxi Driver
Incendies
A Separation
Toy Story 3
Lawrence of Arabia
The Sting
Amélie
Metropolis
The Apartment
For a Few Dollars More
Double Indemnity
To Kill a Mockingbird
Up
Indiana Jones and the Last Crusade
Heat
L.A. Confidential
Green Book
Die Hard
Monty Python and the Holy Grail
Batman Begins
Yojimbo
Rashomon
Downfall
Children of Heaven
Unforgiven
Ran
Some Like It Hot
Howl's Moving Castle
All About Eve
Casino
A Beautiful Mind
The Wolf of Wall Street
The Great Escape
Pan's Labyrinth
There Will Be Blood
The Secret in Their Eyes
"Lock, Stock and Two Smoking Barrels"
Judgment at Nuremberg
Raging Bull
My Neighbor Totoro
The Treasure of the Sierra Madre
Dial M for Murder
"Three Billboards Outside Ebbing, Missouri"
Shutter Island
Chinatown
The Gold Rush
My Father and My Son
No Country for Old Men
V for Vendetta
Inside Out
The Thing
The Elephant Man
The Seventh Seal
Warrior
The Sixth Sense
Jurassic Park
Klaus
Trainspotting
The Truman Show
Gone with the Wind
Finding Nemo
Stalker
Wild Strawberries
Kill Bill: Vol. 1
Memories of Murder
Blade Runner
The Bridge on the River Kwai
Fargo
Room
Wild Tales
Gran Torino
Tokyo Story
The Third Man
On the Waterfront
The Deer Hunter
In the Name of the Father
Mary and Max
The Grand Budapest Hotel
Before Sunrise
Catch Me If You Can
Gone Girl
Hacksaw Ridge
Prisoners
Persona
Andhadhun
Sherlock Jr.
The Big Lebowski
Barry Lyndon
To Be or Not to Be
The General
How to Train Your Dragon
Ford v Ferrari
Autumn Sonata
12 Years a Slave
The Bandit
Mr. Smith Goes to Washington
Anand
Mad Max: Fury Road
Dead Poets Society
Ratsasan
Million Dollar Baby
Stand by Me
Harry Potter and the Deathly Hallows: Part 2
Network
Ben-Hur
Hachi: A Dog's Tale
Cool Hand Luke
The Handmaiden
Logan
Platoon
Into the Wild
Rush
The Wages of Fear
La Haine
Life of Brian
The 400 Blows
Soul
The Passion of Joan of Arc
Spotlight
Hotel Rwanda
Amores Perros
Gangs of Wasseypur - Part 1
Andrei Rublev
"Monsters, Inc."
Rocky
Nausicaä of the Valley of the Wind
Rebecca
Time of the Gypsies
Before Sunset
In the Mood for Love
Rififi
Rang De Basanti
"Paris, Texas"
Drishyam
Portrait of a Lady on Fire
It Happened One Night
A Silent Voice: The Movie
The Invisible Guest
Neon Genesis Evangelion: The End of Evangelion
The Battle of Algiers
Tangerines
Three Colors: Red
